ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,430,1240.375,629.75,0,430
1,431,1497.357142857143,630.2857142857143,0,431
1,432,1530.6666666666667,630.4444444444445,0,432
1,433,1535.75,629.65,0,433
1,434,1227.7727272727273,631.9545454545455,0,434
1,435,1243.4,632.4,0,435
1,436,1273.7777777777778,634.1111111111111,0,436
1,437,1538.7586206896551,633.4137931034483,0,437
1,438,1518.095238095238,634.5714285714286,0,438
1,439,1424.6666666666667,637.1111111111111,0,439
1,440,1182.6363636363637,638.5454545454545,0,440
1,441,1229.2777777777778,638.8888888888889,0,441
1,442,1233.3157894736842,638.8421052631579,0,442
1,443,1305.2307692307693,638.8461538461538,0,443
1,444,1539.5625,638.53125,0,444
1,445,1427.0454545454545,640.2727272727273,0,445
1,446,1521.1333333333334,641.0,0,446
1,447,1536.6833333333334,643.25,0,447
1,448,1210.060606060606,643.060606060606,0,448
1,449,1525.3181818181818,642.4090909090909,0,449
1,450,1355.5625,644.84375,0,450
1,451,1502.4,643.8,0,451
1,452,1368.75,645.5833333333334,0,452
1,453,1429.1538461538462,644.0769230769231,0,453
1,454,1213.125,645.75,0,454
1,455,1432.111111111111,646.2222222222222,0,455
1,456,1454.9444444444443,647.0555555555555,0,456
1,457,1462.3636363636363,645.7272727272727,0,457
1,458,1297.875,646.875,0,458
1,459,1530.1875,647.125,0,459
1,460,1539.076923076923,647.1538461538462,0,460
1,461,1194.7,647.7,0,461
1,462,1428.8461538461538,647.4615384615385,0,462
1,463,1535.0588235294117,648.1764705882352,0,463
1,464,1204.1875,648.8125,0,464
1,465,1219.5,649.0,0,465
1,466,1422.3,648.3,0,466
1,467,1540.8,649.5,0,467
1,468,1206.3636363636363,651.3636363636364,0,468
1,469,1428.5,651.0,0,469
1,470,1468.9411764705883,651.6470588235294,0,470
1,471,1466.4375,653.3125,0,471
1,472,1327.1666666666667,652.9166666666666,0,472
1,473,1371.340425531915,651.4893617021277,0,473
1,474,1431.7,653.0,0,474
1,475,1207.909090909091,655.3181818181819,0,475
1,476,1507.7,655.8,0,476
1,477,1523.6103896103896,652.1038961038961,0,477
1,478,1199.8823529411766,656.4117647058823,0,478
1,479,1530.2083333333333,654.9583333333334,0,479
1,480,1472.0,657.5,0,480
1,481,1536.8695652173913,656.4347826086956,0,481
1,482,1531.4285714285713,659.1428571428571,0,482
1,483,1226.857142857143,659.2857142857143,0,483
1,484,1524.28125,660.03125,0,484
1,485,1193.625,661.9375,0,485
1,486,1517.6666666666667,661.5,0,486
1,487,1244.0,664.5384615384615,0,487
1,488,1530.3846153846155,665.3846153846154,0,488
1,489,1238.7272727272727,667.7272727272727,0,489
1,490,1425.625,668.0,0,490
1,491,1236.111111111111,669.3333333333334,0,491
1,492,1285.0,670.0,0,492
1,493,1288.235294117647,669.9411764705883,0,493
1,494,1377.090909090909,669.6363636363636,0,494
1,495,1522.8648648648648,669.9459459459459,0,495
1,496,1530.4827586206898,670.4137931034483,0,496
1,497,1214.111111111111,671.4444444444445,0,497
1,498,1254.9333333333334,671.1333333333333,0,498
1,499,1424.1739130434783,671.1739130434783,0,499
1,500,1534.7272727272727,670.8181818181819,0,500
1,501,1201.9375,671.8125,0,501
1,502,1290.125,672.375,0,502
1,503,1374.0,671.0769230769231,0,503
1,504,1251.5,673.1428571428571,0,504
1,505,1382.2,673.0,0,505
1,506,1285.76,674.04,0,506
1,507,1395.9411764705883,673.1764705882352,0,507
1,508,1200.6153846153845,676.4230769230769,0,508
1,509,1209.5263157894738,676.578947368421,0,509
1,510,1249.1764705882354,675.7647058823529,0,510
1,511,1254.8461538461538,676.3076923076923,0,511
1,512,1281.6842105263158,675.9473684210526,0,512
1,513,1388.9615384615386,676.1153846153846,0,513
1,514,1394.1176470588234,678.0882352941177,0,514
1,515,1174.3,676.7,0,515
1,516,1157.5,678.2,0,516
1,517,1168.7096774193549,678.3870967741935,0,517
1,518,1284.7058823529412,678.7058823529412,0,518
1,519,1158.875,681.1875,0,519
1,520,1282.7692307692307,681.2307692307693,0,520
1,521,1391.3809523809523,681.6666666666666,0,521
1,522,1410.1904761904761,680.5238095238095,0,522
1,523,1171.0,683.1,0,523
1,524,1165.075,682.775,0,524
1,525,1545.6451612903227,684.5806451612904,0,525
1,526,1549.0,683.5,0,526
1,527,1201.857142857143,684.9285714285714,0,527
1,528,1407.6285714285714,683.3714285714286,0,528
1,529,1283.3125,686.0625,0,529
1,530,1416.2142857142858,686.6428571428571,0,530
1,531,1389.139534883721,686.6511627906976,0,531
1,532,1404.0833333333333,687.3333333333334,0,532
1,533,1163.0333333333333,687.7,0,533
1,534,1172.2307692307693,687.7692307692307,0,534
1,535,1394.1818181818182,687.8181818181819,0,535
1,536,1410.8125,689.0625,0,536
1,537,1168.578947368421,688.8157894736842,0,537
1,538,1370.107142857143,690.4285714285714,0,538
1,539,1392.1515151515152,692.0,0,539
1,540,1396.3846153846155,690.6153846153846,0,540
1,541,1406.2941176470588,691.5882352941177,0,541
1,542,1419.0,690.8260869565217,0,542
1,543,1159.7142857142858,691.5,0,543
1,544,1182.6666666666667,692.1111111111111,0,544
1,545,1374.2307692307693,692.3846153846154,0,545
1,546,1546.888888888889,691.6666666666666,0,546
1,547,1195.3555555555556,692.6666666666666,0,547
1,548,1411.9,693.45,0,548
1,549,1386.9285714285713,694.0714285714286,0,549
1,550,1182.6363636363637,695.0909090909091,0,550
