ImageNumber,ObjectNumber,Children_FilterObjects_Count,Children_MaskedNuclei_Count,Children_RNA_Green_Count,Classify_colocalized,Classify_not_colocalized,Location_Center_X,Location_Center_Y,Location_Center_Z,Mean_RNA_Green_Location_Center_X,Mean_RNA_Green_Location_Center_Y,Mean_RNA_Green_Location_Center_Z,Mean_RNA_Green_Number_Object_Number,Number_Object_Number,Parent_Nuclei
1,166,0,1,0,0,1,984.0,451.52777777777777,0,nan,nan,nan,nan,166,72
1,167,0,1,0,0,1,991.0,452.3103448275862,0,nan,nan,nan,nan,167,72
1,168,0,0,0,0,1,1217.6363636363637,452.09090909090907,0,nan,nan,nan,nan,168,0
1,169,0,1,0,0,1,1279.3333333333333,452.25,0,nan,nan,nan,nan,169,68
1,170,0,0,0,0,1,833.6,453.6666666666667,0,nan,nan,nan,nan,170,0
1,171,0,0,0,0,1,840.52,453.36,0,nan,nan,nan,nan,171,0
1,172,0,1,0,0,1,929.34375,452.78125,0,nan,nan,nan,nan,172,75
1,173,0,1,0,0,1,942.0882352941177,453.38235294117646,0,nan,nan,nan,nan,173,75
1,174,0,1,0,0,1,1276.3636363636363,452.6363636363636,0,nan,nan,nan,nan,174,68
1,175,0,1,0,0,1,876.2857142857143,454.2142857142857,0,nan,nan,nan,nan,175,62
1,176,0,0,0,0,1,892.8333333333334,454.72222222222223,0,nan,nan,nan,nan,176,0
1,177,0,1,0,0,1,904.0833333333334,453.75,0,nan,nan,nan,nan,177,67
1,178,0,1,0,0,1,935.9583333333334,453.7083333333333,0,nan,nan,nan,nan,178,75
1,179,0,0,0,0,1,958.560975609756,453.5365853658537,0,nan,nan,nan,nan,179,0
1,180,0,0,0,0,1,1023.2222222222222,454.44444444444446,0,nan,nan,nan,nan,180,0
1,181,0,1,0,0,1,1232.5263157894738,453.7894736842105,0,nan,nan,nan,nan,181,57
1,182,0,1,0,0,1,1267.3846153846155,453.38461538461536,0,nan,nan,nan,nan,182,82
1,183,0,0,0,0,1,850.1111111111111,455.3888888888889,0,nan,nan,nan,nan,183,0
1,184,0,1,0,0,1,882.1428571428571,455.2142857142857,0,nan,nan,nan,nan,184,62
1,185,0,1,0,0,1,897.0666666666667,454.6,0,nan,nan,nan,nan,185,67
1,186,0,1,0,0,1,946.875,455.125,0,nan,nan,nan,nan,186,75
1,187,0,1,0,0,1,977.5,454.71875,0,nan,nan,nan,nan,187,72
1,188,0,0,0,0,1,999.6981132075472,454.50943396226415,0,nan,nan,nan,nan,188,0
1,189,0,0,0,0,1,1215.5,455.0,0,nan,nan,nan,nan,189,0
1,190,0,1,0,0,1,1295.125,454.875,0,nan,nan,nan,nan,190,68
1,191,0,1,0,0,1,1345.090909090909,454.6363636363636,0,nan,nan,nan,nan,191,69
1,192,0,0,0,0,1,835.8333333333334,456.0833333333333,0,nan,nan,nan,nan,192,0
1,193,0,1,0,0,1,950.3076923076923,456.0769230769231,0,nan,nan,nan,nan,193,75
1,194,0,1,0,0,1,986.0454545454545,456.0,0,nan,nan,nan,nan,194,72
1,195,0,1,0,0,1,992.6382978723404,457.78723404255317,0,nan,nan,nan,nan,195,72
1,196,0,0,0,0,1,1020.5,455.6,0,nan,nan,nan,nan,196,0
1,197,0,0,0,0,1,1029.1666666666667,456.0833333333333,0,nan,nan,nan,nan,197,0
