ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_RNA_Red
1,139,741.9230769230769,1557.8461538461538,0,139,7177
1,140,691.1090909090909,1568.1090909090908,0,140,7216
1,141,641.8846153846154,1567.0384615384614,0,141,7219
1,142,686.78125,1579.6875,0,142,7279
1,143,526.75,1607.5833333333333,0,143,7445
1,144,519.6,1613.0666666666666,0,144,7491
1,145,578.972972972973,1623.162162162162,0,145,7551
1,146,451.2,1625.7333333333333,0,146,7554
1,147,1504.6,1627.2,0,147,7571
1,148,1654.423076923077,1626.6153846153845,0,148,7572
1,149,608.0357142857143,1631.0357142857142,0,149,7592
1,150,466.3333333333333,1634.888888888889,0,150,7618
1,151,1718.875,1641.125,0,151,7669
1,152,1317.4117647058824,1641.8823529411766,0,152,7674
1,153,728.1428571428571,1642.4285714285713,0,153,7682
1,154,1310.875,1650.875,0,154,7743
1,155,1055.2857142857142,1652.857142857143,0,155,7760
1,156,378.875,1655.125,0,156,7776
1,157,555.6333333333333,1658.8333333333333,0,157,7806
1,158,720.4,1658.4,0,158,7807
1,159,1051.05,1658.0,0,159,7810
1,160,1030.0816326530612,1659.0408163265306,0,160,7822
1,161,1059.2142857142858,1659.357142857143,0,161,7837
1,162,1032.6153846153845,1662.2307692307693,0,162,7845
1,163,1020.95,1665.9,0,163,7898
1,164,516.0909090909091,1671.2727272727273,0,164,7934
1,165,1038.590909090909,1678.8181818181818,0,165,7991
1,166,1037.8,1682.9,0,166,8025
1,167,1044.5833333333333,1682.8333333333333,0,167,8026
1,168,1068.0,1683.1764705882354,0,168,8027
1,169,1073.4857142857143,1683.6571428571428,0,169,8038
1,170,1081.95,1685.675,0,170,8044
1,171,1071.4683544303798,1689.3037974683543,0,171,8075
1,172,1084.1176470588234,1693.0882352941176,0,172,8097
1,173,1006.8888888888889,1693.3333333333333,0,173,8112
1,174,1080.4375,1696.25,0,174,8128
1,175,1086.9795918367347,1699.1020408163265,0,175,8155
1,176,1080.275,1703.0,0,176,8195
1,177,1030.3636363636363,1705.909090909091,0,177,8210
1,178,1083.1914893617022,1707.1702127659576,0,178,8229
1,179,609.5,1711.0,0,179,8260
1,180,732.9545454545455,1711.7272727272727,0,180,8267
1,181,1486.125,1712.875,0,181,8273
1,182,677.875,1717.875,0,182,8298
1,183,609.0,1719.2,0,183,8308
1,184,1318.5,1721.2222222222222,0,184,8324
1,185,576.5384615384615,1731.3846153846155,0,185,8386
1,186,1037.0,1732.0,0,186,8387
1,187,701.5555555555555,1732.4444444444443,0,187,8394
1,188,442.72727272727275,1735.0,0,188,8405
1,189,745.5,1738.0,0,189,8428
1,190,497.15384615384613,1741.0,0,190,8440
1,191,581.2941176470588,1742.4117647058824,0,191,8450
1,192,1502.5333333333333,1758.2444444444445,0,192,8517
1,193,579.3488372093024,1758.9767441860465,0,193,8527
1,194,454.3333333333333,1759.75,0,194,8532
1,195,570.0,1760.0,0,195,8534
1,196,568.5681818181819,1768.0681818181818,0,196,8575
1,197,504.94736842105266,1774.2631578947369,0,197,8604
1,198,691.2142857142857,1779.2142857142858,0,198,8633
1,199,684.3548387096774,1782.9032258064517,0,199,8653
1,200,516.4,1790.55,0,200,8674
1,201,559.2857142857143,1790.6190476190477,0,201,8679
1,202,736.6428571428571,1794.5714285714287,0,202,8694
1,203,1381.6,1798.7,0,203,8722
1,204,708.7,1812.1,0,204,8792
1,205,713.1379310344828,1817.103448275862,0,205,8823
1,206,1724.2135922330096,1823.4466019417475,0,206,8862
1,207,639.4285714285714,1850.357142857143,0,207,9031
1,208,709.8076923076923,1861.6153846153845,0,208,9082
1,209,749.16,1869.56,0,209,9126
1,210,740.9622641509434,1869.622641509434,0,210,9140
1,211,494.4375,1876.1875,0,211,9166
1,212,522.6875,1879.8125,0,212,9184
1,213,708.1818181818181,1895.5454545454545,0,213,9275
1,214,771.3333333333334,1895.1666666666667,0,214,9276
1,215,641.4666666666667,1897.2,0,215,9297
1,216,757.5714285714286,1900.4642857142858,0,216,9311
1,217,826.5833333333334,1900.4166666666667,0,217,9312
1,218,1630.6,1903.0666666666666,0,218,9342
1,219,470.3611111111111,1914.4166666666667,0,219,9423
1,220,1128.9166666666667,1926.9166666666667,0,220,9496
1,221,705.2935779816514,1927.3577981651376,0,221,9508
1,222,1104.2962962962963,1929.5555555555557,0,222,9512
1,223,821.3636363636364,1932.090909090909,0,223,9523
1,224,1106.3846153846155,1934.8461538461538,0,224,9537
1,225,750.5,1939.909090909091,0,225,9558
1,226,1659.3125,1960.9375,0,226,9629
1,227,1688.2608695652175,1963.7826086956522,0,227,9640
1,228,662.1428571428571,1963.2857142857142,0,228,9643
1,229,666.1,1964.5,0,229,9644
1,230,670.8571428571429,1967.0,0,230,9651
1,231,676.6363636363636,1968.090909090909,0,231,9658
1,232,448.3333333333333,1969.7333333333333,0,232,9662
1,233,1389.5,1968.875,0,233,9666
1,234,1109.6363636363637,1970.090909090909,0,234,9668
1,235,682.375,1971.25,0,235,9670
1,236,1566.0714285714287,1974.7857142857142,0,236,9695
1,237,706.125,1975.875,0,237,9698
1,238,1107.3703703703704,1976.1851851851852,0,238,9708
1,239,674.1190476190476,1980.1190476190477,0,239,9725
1,240,743.0,1981.2,0,240,9736
1,241,1067.090909090909,1992.3636363636363,0,241,9817
1,242,1129.0,1995.0,0,242,9840
1,243,1504.9545454545455,2004.2727272727273,0,243,9909
1,244,759.875,2008.125,0,244,9926
1,245,1434.5,2008.5,0,245,9927
1,246,792.6363636363636,2011.7272727272727,0,246,9960
1,247,958.1212121212121,2014.4242424242425,0,247,9974
1,248,1433.92,2013.68,0,248,9976
1,249,862.4722222222222,2016.4444444444443,0,249,9982
1,250,949.55,2017.6,0,250,9996
1,251,953.75,2016.9444444444443,0,251,10008
1,252,868.0,2019.0,0,252,10014
1,253,761.030303030303,2022.0,0,253,10027
1,254,1534.88,2022.08,0,254,10035
1,255,951.6428571428571,2028.2142857142858,0,255,10062
1,256,956.0625,2029.125,0,256,10072
1,257,788.2325581395348,2031.139534883721,0,257,10081
1,258,962.25,2034.625,0,258,10088
1,259,1626.3846153846155,2045.3846153846155,0,259,10163
1,260,1390.16,2046.52,0,260,10170
1,261,872.5,2053.2,0,261,10205
1,262,1282.4166666666667,2054.0,0,262,10215
1,263,863.7272727272727,2058.590909090909,0,263,10232
1,264,647.9411764705883,2066.9411764705883,0,264,10284
1,265,842.8,2069.7,0,265,10298
1,266,835.0,2071.5882352941176,0,266,10307
1,267,1034.875,2087.5,0,267,10403
1,268,718.125,2095.875,0,268,10438
1,269,999.9166666666666,2099.8333333333335,0,269,10458
1,270,660.1818181818181,2110.25,0,270,10505
1,271,814.0,2111.0,0,271,10508
1,272,752.695652173913,2125.1304347826085,0,272,10573
1,273,1055.3333333333333,2125.9166666666665,0,273,10582
1,274,1082.6410256410256,2145.948717948718,0,274,10715
1,275,1067.0461538461539,2147.630769230769,0,275,10731
1,276,1630.7857142857142,2148.0714285714284,0,276,10735
1,277,935.2631578947369,2156.657894736842,0,277,10800
1,278,1320.6363636363637,2157.6363636363635,0,278,10803
1,279,1240.357142857143,2172.0714285714284,0,279,10870
1,280,1399.1470588235295,2181.176470588235,0,280,10921
1,281,1653.7931034482758,2188.6206896551726,0,281,10972
1,282,1656.4285714285713,2198.4285714285716,0,282,11018
1,283,1354.0833333333333,2205.6666666666665,0,283,11049
1,284,1352.4,2213.4,0,284,11121
1,285,797.5,2229.785714285714,0,285,11223
1,286,1234.5128205128206,2232.846153846154,0,286,11242
1,287,1335.2692307692307,2237.653846153846,0,287,11266
1,288,1306.3417721518988,2290.746835443038,0,288,11480
1,289,1109.9545454545455,2422.909090909091,0,289,11608
1,290,2870.8,2832.3,0,290,11611
1,291,2876.909090909091,2832.181818181818,0,291,11612
1,292,2805.1111111111113,2833.8888888888887,0,292,11613
1,293,2872.75,2834.8333333333335,0,293,11614
1,294,2809.0,2835.0,0,294,11615
1,295,2832.0,2835.8,0,295,11616
1,296,2838.125,2836.25,0,296,11617
1,297,2841.153846153846,2834.4615384615386,0,297,11618
1,298,2876.3636363636365,2834.909090909091,0,298,11619
1,299,2843.8571428571427,2836.785714285714,0,299,11620
1,300,2878.777777777778,2837.0,0,300,11621
1,301,2841.0,2838.0,0,301,11622
1,302,2832.090909090909,2839.3636363636365,0,302,11623
1,303,2835.4444444444443,2837.6666666666665,0,303,11624
1,304,2870.9333333333334,2838.6,0,304,11625
1,305,2876.1111111111113,2838.777777777778,0,305,11626
