ImageNumber,ObjectNumber,Children_GreenWithinDAPI_Count,Children_TUJWithinDAPI_Count,Classify_colocalized,Classify_colocalized,Classify_not_colocalized,Classify_not_colocalized,Location_Center_X,Location_Center_Y,Location_Center_Z,Mean_GreenWithinDAPI_Location_Center_X,Mean_GreenWithinDAPI_Location_Center_Y,Mean_GreenWithinDAPI_Location_Center_Z,Mean_GreenWithinDAPI_Number_Object_Number,Mean_TUJWithinDAPI_Location_Center_X,Mean_TUJWithinDAPI_Location_Center_Y,Mean_TUJWithinDAPI_Location_Center_Z,Mean_TUJWithinDAPI_Number_Object_Number,Number_Object_Number,Parent_RNA_Red
1,113,0,0,0,0,1,1,936.0,463.3333333333333,0,nan,nan,nan,nan,nan,nan,nan,nan,113,257
1,114,0,0,0,0,1,1,939.6666666666666,464.22222222222223,0,nan,nan,nan,nan,nan,nan,nan,nan,114,258
1,115,0,0,0,0,1,1,964.8461538461538,464.38461538461536,0,nan,nan,nan,nan,nan,nan,nan,nan,115,259
1,116,0,0,0,0,1,1,997.88,464.0,0,nan,nan,nan,nan,nan,nan,nan,nan,116,260
1,117,0,2,1,1,0,0,1214.5,464.8076923076923,0,nan,nan,nan,nan,1214.9276463963963,463.9893018018018,0.0,153.0,117,262
1,118,0,0,0,0,1,1,1220.090909090909,463.77272727272725,0,nan,nan,nan,nan,nan,nan,nan,nan,118,263
1,119,0,0,0,0,1,1,1235.25,464.425,0,nan,nan,nan,nan,nan,nan,nan,nan,119,264
1,120,0,0,0,0,1,1,1301.125,464.875,0,nan,nan,nan,nan,nan,nan,nan,nan,120,265
1,121,0,0,0,0,1,1,837.3720930232558,465.27906976744185,0,nan,nan,nan,nan,nan,nan,nan,nan,121,266
1,122,0,0,0,0,1,1,955.7777777777778,465.3333333333333,0,nan,nan,nan,nan,nan,nan,nan,nan,122,267
1,123,0,0,0,0,1,1,969.125,465.125,0,nan,nan,nan,nan,nan,nan,nan,nan,123,268
1,124,0,0,0,0,1,1,975.9411764705883,464.6470588235294,0,nan,nan,nan,nan,nan,nan,nan,nan,124,269
1,125,0,0,0,0,1,1,985.9583333333334,465.1666666666667,0,nan,nan,nan,nan,nan,nan,nan,nan,125,270
1,126,0,0,0,0,1,1,1208.3902439024391,466.5365853658537,0,nan,nan,nan,nan,nan,nan,nan,nan,126,272
1,127,0,1,1,1,0,0,1258.4375,465.125,0,nan,nan,nan,nan,1259.88,466.12,0.0,157.0,127,273
1,128,0,0,0,0,1,1,1263.1,463.95,0,nan,nan,nan,nan,nan,nan,nan,nan,128,274
1,129,0,0,0,0,1,1,828.5,465.5,0,nan,nan,nan,nan,nan,nan,nan,nan,129,275
1,130,0,0,0,0,1,1,879.3571428571429,465.64285714285717,0,nan,nan,nan,nan,nan,nan,nan,nan,130,276
1,131,0,0,0,0,1,1,924.2727272727273,466.27272727272725,0,nan,nan,nan,nan,nan,nan,nan,nan,131,277
1,132,0,0,0,0,1,1,949.2222222222222,465.5,0,nan,nan,nan,nan,nan,nan,nan,nan,132,278
1,133,0,0,0,0,1,1,1028.25,466.25,0,nan,nan,nan,nan,nan,nan,nan,nan,133,279
1,134,0,0,0,0,1,1,1315.2777777777778,463.44444444444446,0,nan,nan,nan,nan,nan,nan,nan,nan,134,280
1,135,0,0,0,0,1,1,854.0,467.3333333333333,0,nan,nan,nan,nan,nan,nan,nan,nan,135,281
1,136,0,0,0,0,1,1,990.6923076923077,467.11538461538464,0,nan,nan,nan,nan,nan,nan,nan,nan,136,282
1,137,0,0,0,0,1,1,1024.4827586206898,465.86206896551727,0,nan,nan,nan,nan,nan,nan,nan,nan,137,284
1,138,0,0,0,0,1,1,1031.5,467.0,0,nan,nan,nan,nan,nan,nan,nan,nan,138,285
1,139,0,1,1,1,0,0,1204.0625,467.0,0,nan,nan,nan,nan,1204.888888888889,465.22222222222223,0.0,153.0,139,287
1,140,0,0,0,0,1,1,1246.76,466.72,0,nan,nan,nan,nan,nan,nan,nan,nan,140,288
1,141,0,0,0,0,1,1,1363.7333333333333,466.2,0,nan,nan,nan,nan,nan,nan,nan,nan,141,289
1,142,0,0,0,0,1,1,849.4230769230769,468.46153846153845,0,nan,nan,nan,nan,nan,nan,nan,nan,142,291
1,143,0,0,0,0,1,1,907.4418604651163,466.2325581395349,0,nan,nan,nan,nan,nan,nan,nan,nan,143,292
1,144,0,0,0,0,1,1,917.125,467.875,0,nan,nan,nan,nan,nan,nan,nan,nan,144,293
1,145,0,0,0,0,1,1,938.0333333333333,467.6,0,nan,nan,nan,nan,nan,nan,nan,nan,145,294
1,146,0,0,0,0,1,1,961.35,466.7,0,nan,nan,nan,nan,nan,nan,nan,nan,146,295
1,147,0,0,0,0,1,1,967.0,467.3333333333333,0,nan,nan,nan,nan,nan,nan,nan,nan,147,296
1,148,0,0,0,0,1,1,977.5882352941177,468.5882352941176,0,nan,nan,nan,nan,nan,nan,nan,nan,148,297
1,149,0,0,0,0,1,1,994.6666666666666,467.77777777777777,0,nan,nan,nan,nan,nan,nan,nan,nan,149,298
1,150,0,0,0,0,1,1,997.3333333333334,468.0833333333333,0,nan,nan,nan,nan,nan,nan,nan,nan,150,299
