ImageNumber,ObjectNumber,Children_RNA_Green_Count,Children_RNA_Red_Count,Children_RNA_TUJ_Count,Classify_colocalized,Classify_colocalized,Classify_not_colocalized,Classify_not_colocalized,Location_Center_X,Location_Center_Y,Location_Center_Z,Mean_RNA_Green_Location_Center_X,Mean_RNA_Green_Location_Center_Y,Mean_RNA_Green_Location_Center_Z,Mean_RNA_Green_Number_Object_Number,Mean_RNA_Red_Location_Center_X,Mean_RNA_Red_Location_Center_Y,Mean_RNA_Red_Location_Center_Z,Mean_RNA_Red_Number_Object_Number,Mean_RNA_TUJ_Location_Center_X,Mean_RNA_TUJ_Location_Center_Y,Mean_RNA_TUJ_Location_Center_Z,Mean_RNA_TUJ_Number_Object_Number,Number_Object_Number
1,24,0,0,0,0,0,1,1,955.0441767068273,392.03614457831327,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24
1,25,0,0,1,0,0,1,1,1435.7785467128028,385.681660899654,0,nan,nan,nan,nan,nan,nan,nan,nan,1435.357142857143,387.2142857142857,0.0,1568.0,25
1,26,0,0,6,0,0,1,1,1606.905172413793,390.6810344827586,0,nan,nan,nan,nan,nan,nan,nan,nan,1598.576920995671,395.1814393939394,0.0,1662.0,26
1,27,0,0,0,0,0,1,1,1094.3954545454546,391.98636363636365,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27
1,28,0,0,2,0,0,1,1,1710.53125,391.296875,0,nan,nan,nan,nan,nan,nan,nan,nan,1709.225,393.5,0.0,1643.5,28
1,29,0,0,2,0,0,1,1,1659.7692307692307,398.33779264214047,0,nan,nan,nan,nan,nan,nan,nan,nan,1664.385521885522,406.89898989898995,0.0,1806.0,29
1,30,0,0,0,0,0,1,1,1143.9201877934272,399.2723004694836,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30
1,31,0,0,4,0,0,1,1,1636.7877697841727,396.97482014388487,0,nan,nan,nan,nan,nan,nan,nan,nan,1634.3452088452088,399.3538390663391,0.0,1719.5,31
1,32,0,0,4,0,0,1,1,883.4213836477987,398.35849056603774,0,nan,nan,nan,nan,nan,nan,nan,nan,883.3735119047619,400.5184523809524,0.0,1726.75,32
1,33,0,1,9,0,0,1,1,1350.7307692307693,397.09134615384613,0,nan,nan,nan,nan,1338.5,387.0,0.0,1.0,1346.7973769229789,397.1014059294933,0.0,1688.2222222222222,33
1,34,0,0,12,0,0,1,1,837.2951807228916,395.9277108433735,0,nan,nan,nan,nan,nan,nan,nan,nan,834.5322067195102,395.4112129025761,0.0,1664.9166666666667,34
