ImageNumber,ObjectNumber,Children_GreenWithinDAPI_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Nuclei
1,109,1,749.3636363636364,1083.090909090909,0,109,995
1,110,1,1424.0,1084.0,0,110,976
1,111,1,435.5,1091.7142857142858,0,111,962
1,112,1,489.6363636363636,1093.7272727272727,0,112,965
1,113,0,1064.2,1093.0,0,113,0
1,114,0,944.5,1096.0,0,114,0
1,115,1,1063.875,1101.875,0,115,1003
1,116,1,294.6363636363636,1103.909090909091,0,116,1018
1,117,0,1073.8181818181818,1104.1818181818182,0,117,0
1,118,1,1179.0,1104.0,0,118,1020
1,119,1,936.7692307692307,1105.7692307692307,0,119,1029
1,120,1,545.3333333333334,1107.888888888889,0,120,997
1,121,0,1143.0,1107.4705882352941,0,121,0
1,122,0,1075.8,1110.6,0,122,0
1,123,0,881.75,1112.875,0,123,0
1,124,0,1002.0,1115.5,0,124,0
