ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_TUJWithinDAPI
1,54,2350.6666666666665,751.1428571428571,0,54,2388
1,55,1809.8478260869565,756.5217391304348,0,55,2463
1,56,2112.9117647058824,759.9411764705883,0,56,2504
1,57,2391.076923076923,760.3846153846154,0,57,2523
1,58,2039.3529411764705,761.7647058823529,0,58,2533
1,59,2045.3030303030303,763.1313131313132,0,59,2553
1,60,2388.0,762.0,0,60,2561
1,61,1644.3636363636363,763.9090909090909,0,61,2578
1,62,2085.5945945945946,764.5675675675676,0,62,2601
1,63,2068.375,767.125,0,63,2656
1,64,1795.1875,768.8125,0,64,2669
1,65,2251.5,769.3636363636364,0,65,2678
1,66,2071.0,769.9,0,66,2688
1,67,2255.8,769.5,0,67,2689
1,68,2067.0,771.2,0,68,2701
1,69,2086.081632653061,770.4897959183673,0,69,2702
1,70,2289.974358974359,771.6666666666666,0,70,2709
1,71,2403.8571428571427,770.5714285714286,0,71,2723
1,72,1863.3676470588234,774.2647058823529,0,72,2741
1,73,2072.3650793650795,776.2063492063492,0,73,2771
1,74,1741.75,778.8888888888889,0,74,2798
1,75,2403.875,780.375,0,75,2839
1,76,1830.871794871795,781.5384615384615,0,76,2844
1,77,2002.825,776.2,0,77,2848
1,78,2045.3333333333333,781.9583333333334,0,78,2873
1,79,2117.5333333333333,783.1333333333333,0,79,2874
1,80,2121.6071428571427,783.1071428571429,0,80,2875
1,81,2097.527777777778,782.6111111111111,0,81,2887
1,82,2091.8,784.6,0,82,2900
1,83,2100.5,786.1363636363636,0,83,2901
1,84,2114.53125,784.84375,0,84,2902
1,85,1993.1052631578948,786.421052631579,0,85,2912
1,86,2041.6538461538462,784.6538461538462,0,86,2913
1,87,1980.1190476190477,787.8095238095239,0,87,2937
1,88,2094.923076923077,788.1538461538462,0,88,2940
1,89,1712.608695652174,795.0434782608696,0,89,3050
1,90,2133.625,796.9791666666666,0,90,3052
1,91,1803.842105263158,798.0526315789474,0,91,3088
1,92,1825.5833333333333,799.5416666666666,0,92,3089
1,93,2000.090909090909,798.6363636363636,0,93,3092
1,94,2021.121212121212,800.0,0,94,3105
1,95,2127.5789473684213,799.6842105263158,0,95,3107
1,96,1803.2758620689656,801.4137931034483,0,96,3113
1,97,1997.1764705882354,800.6470588235294,0,97,3115
1,98,2028.4444444444443,800.1111111111111,0,98,3127
1,99,2133.0833333333335,802.25,0,99,3130
1,100,1712.103448275862,803.8620689655172,0,100,3152
1,101,2034.4666666666667,802.4,0,101,3158
1,102,2074.4,803.76,0,102,3160
1,103,2129.2727272727275,802.9090909090909,0,103,3161
1,104,1731.4285714285713,804.7857142857143,0,104,3171
1,105,2167.9333333333334,805.0,0,105,3176
1,106,2237.0,804.5,0,106,3179
1,107,2027.5384615384614,805.8461538461538,0,107,3190
1,108,2032.625,806.9166666666666,0,108,3191
1,109,2038.6842105263158,805.421052631579,0,109,3192
1,110,2123.8333333333335,805.0,0,110,3195
1,111,2147.1666666666665,806.0833333333334,0,111,3196
1,112,1715.2727272727273,807.0,0,112,3208
1,113,1834.3333333333333,808.8571428571429,0,113,3209
1,114,2129.7,806.8,0,114,3211
1,115,2074.1304347826085,808.9565217391304,0,115,3222
1,116,1841.6,809.5,0,116,3235
1,117,2023.857142857143,810.5357142857143,0,117,3253
1,118,2085.5333333333333,809.6,0,118,3254
1,119,2101.6,810.4,0,119,3255
1,120,1809.2222222222222,810.5,0,120,3268
1,121,2125.7735849056603,810.7924528301887,0,121,3276
1,122,2130.6666666666665,810.75,0,122,3277
1,123,1707.6153846153845,812.3846153846154,0,123,3287
1,124,2074.793103448276,813.2758620689655,0,124,3288
1,125,2154.1,812.0,0,125,3290
1,126,1688.9333333333334,812.1333333333333,0,126,3298
1,127,2080.6862745098038,815.2549019607843,0,127,3312
1,128,2118.6470588235293,814.0588235294117,0,128,3314
1,129,2158.4871794871797,813.4358974358975,0,129,3316
1,130,2095.403846153846,814.3461538461538,0,130,3329
1,131,1834.047619047619,816.1428571428571,0,131,3336
1,132,2027.8648648648648,816.7837837837837,0,132,3339
1,133,2150.5882352941176,815.9117647058823,0,133,3342
1,134,2225.5,815.3928571428571,0,134,3344
1,135,2100.8125,817.9375,0,135,3353
1,136,2117.7916666666665,818.875,0,136,3367
1,137,2080.0,819.7619047619048,0,137,3396
1,138,2122.176470588235,820.5294117647059,0,138,3398
1,139,2146.2,819.6,0,139,3399
1,140,1698.0,821.0,0,140,3411
1,141,2075.9473684210525,821.5263157894736,0,141,3418
1,142,2093.285714285714,820.7142857142857,0,142,3419
1,143,2127.5625,821.03125,0,143,3420
1,144,2224.0555555555557,820.7777777777778,0,144,3425
1,145,1756.1333333333334,822.4,0,145,3431
1,146,2097.730769230769,821.6538461538462,0,146,3437
1,147,1653.1538461538462,822.6923076923077,0,147,3446
1,148,1649.047619047619,823.2857142857143,0,148,3462
1,149,2137.269230769231,824.2692307692307,0,149,3467
1,150,2239.3076923076924,824.1538461538462,0,150,3468
1,151,1742.6363636363637,825.0909090909091,0,151,3479
1,152,2151.4615384615386,824.1076923076923,0,152,3484
1,153,2422.3870967741937,824.1612903225806,0,153,3490
1,154,1648.5,826.875,0,154,3495
1,155,2093.2758620689656,825.9655172413793,0,155,3496
1,156,2100.2708333333335,825.5833333333334,0,156,3497
1,157,2131.125,826.25,0,157,3498
1,158,1865.111111111111,827.2777777777778,0,158,3513
1,159,1872.111111111111,827.2444444444444,0,159,3514
1,160,2086.921875,825.359375,0,160,3517
1,161,2159.8,827.5,0,161,3518
1,162,2221.64,826.4,0,162,3520
1,163,2418.1875,827.375,0,163,3525
1,164,2225.5,829.0,0,164,3541
1,165,2423.176470588235,829.1176470588235,0,165,3546
1,166,1755.3333333333333,829.9166666666666,0,166,3550
1,167,2090.4193548387098,831.0322580645161,0,167,3561
1,168,2238.5333333333333,830.5,0,168,3563
1,169,2082.6666666666665,831.3333333333334,0,169,3579
1,170,2134.0392156862745,834.6862745098039,0,170,3605
1,171,2234.714285714286,833.5,0,171,3608
1,172,2411.24,834.6,0,172,3612
1,173,2237.5,836.6666666666666,0,173,3623
1,174,2414.2916666666665,837.5,0,174,3671
1,175,2409.625,839.25,0,175,3678
