ImageNumber,ObjectNumber,Children_TUJWithinDAPI_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Nuclei
1,329,0,547.8936170212766,61.361702127659576,0,329,0
1,330,0,556.2564102564103,63.1025641025641,0,330,0
1,331,0,594.75,64.5,0,331,0
1,332,0,875.4615384615385,64.15384615384616,0,332,0
1,333,0,887.9230769230769,64.46153846153847,0,333,0
1,334,0,905.1052631578947,63.73684210526316,0,334,0
1,335,0,468.0,65.0,0,335,0
1,336,0,530.2857142857143,65.64285714285714,0,336,0
1,337,0,543.8888888888889,65.22222222222223,0,337,0
1,338,0,560.1111111111111,65.33333333333333,0,338,0
1,339,0,647.8181818181819,65.9090909090909,0,339,0
1,340,0,849.4545454545455,64.9090909090909,0,340,0
1,341,0,860.0,63.7,0,341,0
1,342,0,914.0833333333334,62.75,0,342,0
1,343,0,496.26666666666665,66.73333333333333,0,343,0
1,344,0,535.6,66.06666666666666,0,344,0
1,345,0,581.7692307692307,66.76923076923077,0,345,0
1,346,0,602.6666666666666,65.75,0,346,0
1,347,0,618.75,66.58333333333333,0,347,0
1,348,0,828.6060606060606,65.03030303030303,0,348,0
1,349,0,838.125,66.125,0,349,0
1,350,0,899.4,65.6,0,350,0
1,351,0,968.7272727272727,65.81818181818181,0,351,0
1,352,0,521.6923076923077,67.0,0,352,0
1,353,0,548.2,67.1,0,353,0
1,354,0,781.8235294117648,65.52941176470588,0,354,0
1,355,0,818.25,67.08333333333333,0,355,0
1,356,0,894.9230769230769,66.61538461538461,0,356,0
1,357,0,945.6896551724138,66.48275862068965,0,357,0
1,358,0,409.75,66.5,0,358,0
1,359,0,448.7142857142857,67.92857142857143,0,359,0
1,360,0,566.4285714285714,70.92857142857143,0,360,0
1,361,0,815.1111111111111,68.11111111111111,0,361,0
1,362,0,959.875,67.9375,0,362,0
1,363,0,477.0,65.88,0,363,0
1,364,0,499.70588235294116,68.17647058823529,0,364,0
1,365,0,511.0833333333333,69.75,0,365,0
1,366,0,611.3636363636364,68.81818181818181,0,366,0
