ImageNumber,ObjectNumber,Children_GreenWithinDAPI_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Nuclei
1,226,1,2131.3333333333335,803.25,0,226,783
1,227,1,2149.0,805.0,0,227,783
1,228,1,1733.0666666666666,804.7333333333333,0,228,758
1,229,1,2031.625,805.0,0,229,900
1,230,1,2165.025641025641,803.5128205128206,0,230,788
1,231,1,2020.3636363636363,806.0909090909091,0,231,900
1,232,1,2239.125,805.875,0,232,822
1,233,1,2257.6363636363635,806.0909090909091,0,233,822
1,234,1,2496.8,806.0,0,234,801
1,235,1,1650.7333333333333,808.3333333333334,0,235,821
1,236,1,2121.6129032258063,806.4516129032259,0,236,744
1,237,1,2242.0,807.2,0,237,822
1,238,1,1713.5,807.7142857142857,0,238,792
1,239,1,2094.75,807.4375,0,239,804
1,240,1,2070.44,809.2,0,240,766
1,241,1,2097.8,809.3333333333334,0,241,804
1,242,1,2128.4615384615386,808.8461538461538,0,242,829
1,243,1,2222.85,809.15,0,243,795
1,244,1,1717.6666666666667,810.1666666666666,0,244,792
1,245,1,1808.125,810.125,0,245,770
1,246,1,2141.285714285714,810.5,0,246,829
1,247,1,1840.888888888889,810.6666666666666,0,247,905
1,248,1,2124.6923076923076,810.3076923076923,0,248,857
1,249,1,2153.8,810.5,0,249,788
1,250,1,1720.909090909091,811.6363636363636,0,250,792
1,251,1,2491.1176470588234,812.0588235294117,0,251,805
1,252,1,1679.0,813.0,0,252,812
1,253,1,1707.6666666666667,813.1111111111111,0,253,792
1,254,1,1834.0,813.0,0,254,850
1,255,1,2076.3333333333335,814.0,0,255,766
1,256,1,2123.9166666666665,813.25,0,256,857
1,257,1,1686.0,814.5,0,257,812
1,258,1,2082.4054054054054,814.972972972973,0,258,837
1,259,1,2095.3333333333335,815.1111111111111,0,259,837
1,260,1,1707.5384615384614,816.1538461538462,0,260,792
1,261,1,1732.875,815.875,0,261,861
1,262,1,2106.875,816.125,0,262,857
1,263,1,2152.3333333333335,815.8095238095239,0,263,829
1,264,1,2029.111111111111,817.3333333333334,0,264,900
1,265,1,2042.2,817.9,0,265,900
1,266,1,2091.7894736842104,817.5263157894736,0,266,837
1,267,1,1725.0,817.5,0,267,855
1,268,1,2046.888888888889,817.6666666666666,0,268,759
1,269,1,2098.0,817.5,0,269,837
1,270,1,2118.3125,818.1875,0,270,857
1,271,1,2124.9166666666665,817.8333333333334,0,271,857
1,272,1,2148.6875,818.0625,0,272,829
1,273,1,2225.9285714285716,818.8571428571429,0,273,822
1,274,1,2076.3529411764707,818.4705882352941,0,274,766
1,275,1,2257.6666666666665,818.8888888888889,0,275,822
1,276,1,2037.3636363636363,820.0909090909091,0,276,900
1,277,1,2153.909090909091,821.6363636363636,0,277,829
1,278,1,2074.285714285714,822.2142857142857,0,278,907
1,279,1,2100.75,821.25,0,279,857
1,280,1,2150.8,821.9,0,280,829
1,281,1,1696.2,823.4,0,281,812
1,282,1,2159.5,823.5,0,282,876
1,283,1,2638.0,823.5,0,283,888
1,284,1,1640.0,824.0,0,284,871
1,285,1,1650.3333333333333,823.8888888888889,0,285,844
1,286,1,1742.125,823.5,0,286,861
1,287,1,1756.75,825.5,0,287,861
1,288,1,1787.5,825.2,0,288,872
1,289,1,2519.7,824.7,0,289,825
1,290,1,1659.2222222222222,824.8888888888889,0,290,844
1,291,1,2125.875,826.125,0,291,857
1,292,1,1868.2,827.5,0,292,873
1,293,1,2135.1875,827.0625,0,293,829
1,294,1,2165.875,826.875,0,294,876
1,295,1,2240.6153846153848,826.6923076923077,0,295,822
1,296,1,1759.0,827.7368421052631,0,296,840
1,297,1,2088.6363636363635,827.0,0,297,837
1,298,1,2101.448275862069,828.2413793103449,0,298,857
1,299,1,2225.125,827.875,0,299,914
1,300,1,2421.3529411764707,827.9411764705883,0,300,870
1,301,1,2466.6363636363635,828.0909090909091,0,301,896
1,302,1,2161.875,827.7916666666666,0,302,876
1,303,1,2278.0,829.5,0,303,955
1,304,1,3340.769230769231,829.2307692307693,0,304,863
1,305,1,1766.375,830.25,0,305,913
1,306,1,1833.1904761904761,828.5238095238095,0,306,850
1,307,1,2091.809523809524,830.4761904761905,0,307,837
1,308,1,2022.5,831.0,0,308,900
1,309,1,2085.5151515151515,831.1212121212121,0,309,837
1,310,1,2104.875,830.875,0,310,857
1,311,1,2219.4666666666667,830.8666666666667,0,311,914
1,312,1,2260.5,831.0,0,312,926
1,313,1,2097.6666666666665,831.8571428571429,0,313,857
1,314,1,2230.6666666666665,831.8,0,314,915
1,315,1,2549.1428571428573,832.0714285714286,0,315,902
1,316,1,1831.3636363636363,832.9090909090909,0,316,850
1,317,1,2276.125,833.125,0,317,955
1,318,1,2090.1111111111113,834.7222222222222,0,318,837
1,319,1,2281.3333333333335,834.4444444444445,0,319,955
1,320,1,1697.5,835.2857142857143,0,320,910
1,321,1,2095.0,835.0,0,321,837
1,322,1,2100.4324324324325,835.4324324324324,0,322,857
1,323,1,2135.75,835.0625,0,323,875
1,324,1,2550.875,835.125,0,324,936
1,325,1,2236.3333333333335,836.8888888888889,0,325,952
1,326,1,2103.3636363636365,838.1818181818181,0,326,857
1,327,1,2411.5,838.0,0,327,934
1,328,1,2527.0,837.8,0,328,919
1,329,1,1792.5833333333333,839.25,0,329,911
1,330,1,1796.0,839.5,0,330,911
1,331,1,2140.470588235294,839.7058823529412,0,331,944
1,332,0,1573.1,840.2,0,332,0
1,333,1,2519.3333333333335,840.5333333333333,0,333,919
1,334,1,2082.818181818182,841.1818181818181,0,334,907
1,335,1,2088.448275862069,840.8275862068965,0,335,940
1,336,1,2131.5,841.1875,0,336,944
1,337,1,2112.3333333333335,843.1666666666666,0,337,891
1,338,0,3341.2,842.0,0,338,0
1,339,1,1388.3846153846155,843.3846153846154,0,339,951
1,340,1,1615.5,843.0,0,340,918
1,341,1,1746.875,843.125,0,341,958
1,342,1,2030.7272727272727,843.0,0,342,900
1,343,1,2542.2,843.0,0,343,930
1,344,1,1632.5,845.0,0,344,918
1,345,1,1697.7142857142858,844.5,0,345,910
1,346,1,2055.125,844.875,0,346,907
1,347,1,2060.6428571428573,846.1428571428571,0,347,907
1,348,1,2148.8333333333335,845.6666666666666,0,348,944
1,349,1,2071.125,847.125,0,349,940
1,350,1,2160.3636363636365,847.6363636363636,0,350,954
1,351,1,2219.3636363636365,846.9090909090909,0,351,915
1,352,1,1736.0666666666666,848.4,0,352,939
1,353,1,2117.5128205128203,847.7435897435897,0,353,1050
1,354,1,2157.125,848.125,0,354,954
1,355,1,3337.4615384615386,849.1538461538462,0,355,971
1,356,1,1627.3,850.2,0,356,918
1,357,1,1749.8181818181818,849.8181818181819,0,357,958
1,358,1,1795.3333333333333,850.1111111111111,0,358,984
1,359,1,2137.5625,850.375,0,359,944
1,360,1,1670.125,851.875,0,360,927
1,361,1,1688.0,851.6923076923077,0,361,927
1,362,1,2016.7857142857142,851.0714285714286,0,362,965
1,363,1,2146.8571428571427,851.9285714285714,0,363,944
1,364,1,2249.086956521739,851.3913043478261,0,364,1009
1,365,1,2141.4285714285716,852.8095238095239,0,365,944
1,366,1,2337.5,853.0,0,366,929
1,367,1,1675.4545454545455,853.7272727272727,0,367,927
1,368,1,1783.5,855.0,0,368,911
1,369,1,2129.764705882353,854.8235294117648,0,369,1050
1,370,1,2221.214285714286,854.3571428571429,0,370,981
1,371,1,1707.25,856.4375,0,371,1042
1,372,1,1900.4444444444443,857.1111111111111,0,372,1006
1,373,1,2107.5,856.6,0,373,1016
1,374,1,2168.5,856.5,0,374,938
1,375,1,2230.75,856.5625,0,375,981
1,376,1,1710.125,855.875,0,376,1042
1,377,1,1755.5,857.5,0,377,958
1,378,1,2018.6666666666667,856.8888888888889,0,378,965
1,379,1,2064.6315789473683,858.1315789473684,0,379,991
1,380,1,2077.0625,856.875,0,380,940
1,381,1,2248.0,856.8,0,381,1009
1,382,1,1856.7333333333333,858.3333333333334,0,382,989
1,383,1,2171.8,858.1,0,383,938
1,384,1,2088.6153846153848,859.3846153846154,0,384,1016
1,385,1,2110.4210526315787,859.0526315789474,0,385,1016
1,386,1,2130.0,859.0,0,386,1050
1,387,1,1899.25,859.6666666666666,0,387,1031
1,388,1,2072.4761904761904,859.8571428571429,0,388,991
1,389,1,2091.875,859.875,0,389,1016
1,390,1,2098.0,859.875,0,390,1016
1,391,1,2165.3,859.9,0,391,954
1,392,1,2229.681818181818,860.5454545454545,0,392,981
1,393,0,3328.2,860.0,0,393,0
1,394,1,1705.1176470588234,860.4117647058823,0,394,1042
1,395,1,1830.888888888889,860.3333333333334,0,395,978
