ImageNumber,ObjectNumber,Children_RNA_Green_Count,Children_RNA_Red_Count,Children_RNA_TUJ_Count,Classify_colocalized,Classify_colocalized,Classify_not_colocalized,Classify_not_colocalized,Location_Center_X,Location_Center_Y,Location_Center_Z,Mean_RNA_Green_Location_Center_X,Mean_RNA_Green_Location_Center_Y,Mean_RNA_Green_Location_Center_Z,Mean_RNA_Green_Number_Object_Number,Mean_RNA_Red_Location_Center_X,Mean_RNA_Red_Location_Center_Y,Mean_RNA_Red_Location_Center_Z,Mean_RNA_Red_Number_Object_Number,Mean_RNA_TUJ_Location_Center_X,Mean_RNA_TUJ_Location_Center_Y,Mean_RNA_TUJ_Location_Center_Z,Mean_RNA_TUJ_Number_Object_Number,Number_Object_Number
1,25,0,0,0,0,0,1,1,2878.275147928994,427.4112426035503,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25
1,26,0,1,0,0,0,1,1,2823.964285714286,422.09285714285716,0,nan,nan,nan,nan,2821.8823529411766,432.0,0.0,89.0,nan,nan,nan,nan,26
1,27,0,2,5,0,0,1,1,2726.906976744186,428.8914728682171,0,nan,nan,nan,nan,2721.6875,422.125,0.0,55.5,2726.77,430.8808787878788,0.0,10370.6,27
1,28,1,27,5,1,1,0,0,2803.548128342246,428.4117647058824,0,2802.5,434.0,0.0,5.0,2803.4433732196953,430.56672731144164,0.0,90.62962962962963,2795.5937700534755,437.2287165775401,0.0,10669.8,28
1,29,0,0,2,0,0,1,1,2488.7368421052633,431.46198830409355,0,nan,nan,nan,nan,nan,nan,nan,nan,2490.056818181818,429.1107954545455,0.0,10282.0,29
1,30,0,6,0,0,0,1,1,2961.0295857988167,430.5739644970414,0,nan,nan,nan,nan,2955.613336894587,435.49912749287745,0.0,113.66666666666667,nan,nan,nan,nan,30
1,31,0,8,0,0,0,1,1,3053.432525951557,432.7681660899654,0,nan,nan,nan,nan,3052.8048790031653,433.31228514988595,0.0,100.25,nan,nan,nan,nan,31
1,32,0,1,0,0,0,1,1,3144.3444976076553,432.70574162679424,0,nan,nan,nan,nan,3138.5,438.0,0.0,121.0,nan,nan,nan,nan,32
1,33,0,0,0,0,0,1,1,2458.0476190476193,429.6326530612245,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33
1,34,0,0,3,0,0,1,1,2547.205479452055,430.3835616438356,0,nan,nan,nan,nan,nan,nan,nan,nan,2544.9869609557113,424.1891754079254,0.0,10049.333333333334,34
1,35,0,0,1,0,0,1,1,2471.340852130326,432.78195488721803,0,nan,nan,nan,nan,nan,nan,nan,nan,2467.769230769231,422.84615384615387,0.0,9938.0,35
1,36,0,0,0,0,0,1,1,2507.484679665738,433.5793871866295,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36
1,37,0,4,0,0,0,1,1,3108.5227963525836,435.25531914893617,0,nan,nan,nan,nan,3107.268452380952,431.4708333333333,0.0,91.5,nan,nan,nan,nan,37
1,38,1,1,2,1,1,0,0,2372.0819672131147,436.9344262295082,0,2377.5384615384614,443.15384615384613,0.0,8.0,2376.7714285714287,433.6857142857143,0.0,100.0,2376.883216783217,434.2412587412588,0.0,10501.5,38
1,39,0,2,0,0,0,1,1,3085.507575757576,434.1818181818182,0,nan,nan,nan,nan,3080.8888888888887,432.6111111111111,0.0,92.0,nan,nan,nan,nan,39
1,40,0,1,0,0,0,1,1,2840.4536585365854,431.88780487804877,0,nan,nan,nan,nan,2830.9166666666665,427.1666666666667,0.0,71.0,nan,nan,nan,nan,40
1,41,0,0,0,0,0,1,1,2419.9933110367892,431.67892976588627,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,41
1,42,1,0,6,1,1,0,0,2570.048319327731,440.9159663865546,0,2581.1111111111113,444.8888888888889,0.0,9.0,nan,nan,nan,nan,2570.3420018434726,447.641804486077,0.0,11067.5,42
1,43,0,0,1,0,0,1,1,2582.8863636363635,437.6363636363636,0,nan,nan,nan,nan,nan,nan,nan,nan,2587.2,440.1,0.0,10711.0,43
1,44,0,9,0,0,0,1,1,3032.8414322250637,438.04347826086956,0,nan,nan,nan,nan,3032.902240993727,437.46660033293153,0.0,119.88888888888889,nan,nan,nan,nan,44
1,45,0,0,9,0,0,1,1,2545.4921135646687,442.74763406940065,0,nan,nan,nan,nan,nan,nan,nan,nan,2546.678821835731,444.5188859664171,0.0,10931.666666666666,45
1,46,0,0,1,0,0,1,1,2479.2147651006712,443.503355704698,0,nan,nan,nan,nan,nan,nan,nan,nan,2477.12,449.56,0.0,11121.0,46
1,47,0,0,6,0,0,1,1,2626.654205607477,443.4859813084112,0,nan,nan,nan,nan,nan,nan,nan,nan,2625.250548045305,443.51113397304,0.0,10893.0,47
1,48,0,5,0,0,0,1,1,3013.8259325044405,439.5239786856128,0,nan,nan,nan,nan,3020.6916666666666,443.29642857142863,0.0,147.4,nan,nan,nan,nan,48
1,49,0,0,5,0,0,1,1,2605.251082251082,442.5064935064935,0,nan,nan,nan,nan,nan,nan,nan,nan,2607.4817016317015,444.57947491105386,0.0,10965.6,49
1,50,0,0,0,0,0,1,1,2847.7163120567375,446.0496453900709,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,50
1,51,0,0,0,0,0,1,1,2453.6633165829144,443.30150753768845,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,51
1,52,0,0,3,0,0,1,1,2638.8166666666666,446.55,0,nan,nan,nan,nan,nan,nan,nan,nan,2639.48137286847,445.02356902356905,0.0,10965.333333333334,52
1,53,0,9,0,0,0,1,1,3055.0237388724036,445.92284866468844,0,nan,nan,nan,nan,3058.081965311377,447.54521828933593,0.0,165.22222222222223,nan,nan,nan,nan,53
1,54,0,0,0,0,0,1,1,2390.700325732899,448.91530944625407,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,54
1,55,0,0,2,0,0,1,1,2436.817518248175,447.654501216545,0,nan,nan,nan,nan,nan,nan,nan,nan,2432.9055555555556,457.84444444444443,0.0,11466.0,55
1,56,0,0,2,0,0,1,1,2493.0923694779117,445.37751004016064,0,nan,nan,nan,nan,nan,nan,nan,nan,2492.75,450.5138888888889,0.0,11191.5,56
1,57,0,0,0,0,0,1,1,2856.9108280254777,444.8980891719745,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,57
1,58,1,0,1,1,1,0,0,2410.1397849462364,451.11397849462367,0,2411.3846153846152,445.61538461538464,0.0,10.0,nan,nan,nan,nan,2394.6666666666665,456.5,0.0,11433.0,58
1,59,2,0,11,1,1,0,0,2591.7512195121953,451.97317073170734,0,2592.252941176471,455.44117647058823,0.0,14.0,nan,nan,nan,nan,2590.813868480516,450.83775546884414,0.0,11203.272727272728,59
